Category: limitedPlus
sum_4_15 &  & |N|: 2 & |Delta|: 11 & |V|: 4 & example: 2.00 & time: 0.81 & solved run: 1/1
sum_5_5 &  & |N|: 2 & |Delta|: 12 & |V|: 5 & example: 2.00 & time: 0.22 & solved run: 1/1
sum_5_15 &  & |N|: 2 & |Delta|: 12 & |V|: 5 & example: 2.00 & time: 0.78 & solved run: 1/1
sum_6_5 &  & |N|: 2 & |Delta|: 13 & |V|: 6 & example: 2.00 & time: 0.23 & solved run: 1/1
sum_6_15 &  & |N|: 2 & |Delta|: 13 & |V|: 6 & example: 2.00 & time: 0.74 & solved run: 1/1
sum_7_5 &  & |N|: 2 & |Delta|: 14 & |V|: 7 & example: 2.00 & time: 0.21 & solved run: 1/1
sum_7_15 &  & |N|: 2 & |Delta|: 14 & |V|: 7 & example: 2.00 & time: 0.73 & solved run: 1/1
sum_8_5 &  & |N|: 2 & |Delta|: 15 & |V|: 8 & example: 2.00 & time: 0.21 & solved run: 1/1
sum_8_15 &  & |N|: 2 & |Delta|: 15 & |V|: 8 & example: 2.00 & time: 0.73 & solved run: 1/1
sum_9_5 &  & |N|: 2 & |Delta|: 16 & |V|: 9 & example: 2.00 & time: 0.22 & solved run: 1/1
sum_9_15 &  & |N|: 2 & |Delta|: 16 & |V|: 9 & example: 2.00 & time: 0.90 & solved run: 1/1
sum_10_5 &  & |N|: 2 & |Delta|: 17 & |V|: 10 & example: 2.00 & time: 0.21 & solved run: 1/1
sum_10_15 &  & |N|: 2 & |Delta|: 17 & |V|: 10 & example: 2.00 & time: 0.77 & solved run: 1/1
